State,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Arkansas,Bradley,8,0,2,,0,6,29,24,2,3,0
Arkansas,Calhoun,4,0,1,,0,3,53,20,30,3,1
Arkansas,Carroll,41,2,7,,0,32,17,1,11,5,1
Arkansas,Chicot,3,0,1,,0,2,76,26,50,0,0
Arkansas,Clark,22,0,0,,1,21,86,18,58,10,1
Arkansas,Clay,6,0,2,,0,4,41,17,21,3,0
Arkansas,Cleburne,78,2,22,,0,54,330,97,199,34,2
Arkansas,Columbia,27,2,1,,0,24,53,28,23,2,2
Arkansas,Conway,21,0,10,,0,11,285,53,203,29,7
Arkansas,Cross,26,0,3,,1,22,121,35,74,12,9
Arkansas,Dallas,4,0,0,,0,4,21,10,11,0,0
Arkansas,Drew,18,0,2,,0,16,131,42,77,12,2
Arkansas,Franklin,52,0,8,,0,44,267,100,149,18,3
Arkansas,Fulton,13,0,2,,0,11,66,0,61,5,0
Arkansas,Greene,25,0,7,,0,18,216,71,135,10,1
Arkansas,Hempstead,31,1,3,,1,26,214,66,121,27,2
Arkansas,Hot Spring,44,1,6,,2,35,226,75,116,35,3
Arkansas,Howard,10,0,0,,0,10,44,32,12,0,0
Arkansas,Independence,152,2,15,,1,134,479,160,269,50,20
Arkansas,Izard,34,0,12,,0,22,245,69,158,18,7
Arkansas,Jackson,25,0,4,,0,21,172,46,98,28,1
Arkansas,Johnson,29,2,6,,2,19,180,110,50,20,3
Arkansas,Lawrence,10,0,1,,1,8,71,26,40,5,2
Arkansas,Lee,9,0,0,,0,9,73,26,39,8,0
Arkansas,Logan,46,2,7,,2,35,280,100,156,24,3
Arkansas,Marion,51,0,9,,1,41,288,77,198,13,7
Arkansas,Mississippi,42,1,10,,2,29,303,98,173,32,3
Arkansas,Monroe,3,0,1,,0,2,44,10,22,12,0
Arkansas,Newton,26,1,3,,0,22,90,35,49,6,3
Arkansas,Ouachita,30,0,2,,0,28,98,33,51,14,3
Arkansas,Pike,4,0,0,,1,3,49,20,26,3,0
Arkansas,Polk,38,0,10,,0,28,99,31,63,5,4
Arkansas,Pope,78,1,11,,4,62,416,173,183,60,10
Arkansas,Prairie,4,0,1,,0,3,42,11,28,3,0
Arkansas,Randolph,29,0,11,,1,17,171,38,126,7,1
Arkansas,Scott,18,0,4,,1,13,75,22,43,10,2
Arkansas,Searcy,11,0,3,,0,8,56,21,32,3,0
Arkansas,Sevier,27,2,5,,0,20,75,37,36,2,3
Arkansas,St. Francis,17,0,5,,1,11,281,87,192,2,1
Arkansas,Stone,26,0,4,,0,22,84,40,41,3,4
Arkansas,Union,49,0,2,,6,41,298,113,165,20,0
Arkansas,Van Buren,39,1,3,,0,35,219,29,162,28,1
Arkansas,White,158,1,39,,2,116,827,230,493,104,3
Arkansas,Woodruff,0,0,0,,0,0,45,9,28,8,0
Arkansas,Yell,32,3,3,,1,25,225,77,120,28,3
California,Alameda,589,8,30,,204,347,2195,490,1104,601,20
California,Butte,183,3,34,,28,118,1344,656,666,22,0
California,Contra Costa,347,9,25,,108,205,1485,505,957,23,20
California,El Dorado,291,1,53,,37,200,2085,512,1534,39,5
California,Fresno,1177,12,29,,82,1054,3798,1625,1468,705,170
California,Imperial,161,2,8,,12,139,453,129,298,26,9
California,Kern,2403,44,177,,443,1739,10440,3161,5109,2170,281
California,Kings,157,4,16,,16,121,426,164,236,26,4
California,Los Angeles,6124,94,307,,1474,4249,17498,3816,9328,4354,227
California,Madera,434,4,28,,19,383,1102,517,568,17,2
California,Marin,72,3,4,,19,46,730,172,554,4,1
California,Merced,542,2,18,,33,489,1541,601,886,54,8
California,Monterey,286,11,18,,54,203,1377,303,1041,33,11
California,Napa,61,0,7,,8,46,270,93,175,2,0
California,Orange,229,0,20,,30,179,1123,213,765,145,11
California,Placer,261,1,33,,34,193,1539,471,1040,28,8
California,Riverside,841,28,56,,177,580,7651,1695,4630,1326,22
California,Sacramento,2797,42,155,,880,1720,10142,3062,6943,137,68
California,San Benito,39,1,6,,4,28,126,64,52,10,1
California,San Bernardino,924,12,88,,151,673,5235,1525,2513,1197,54
California,San Diego,1422,29,115,,206,1072,4617,1131,2656,830,26
California,San Joaquin,793,7,26,,174,586,3072,826,2106,140,19
California,San Luis Obispo,356,0,21,,16,319,1384,441,920,23,10
California,San Mateo,298,1,57,,64,176,2843,454,2089,300,9
California,Santa Barbara,265,4,49,,32,180,1639,476,1146,17,7
California,Santa Clara,316,4,46,,15,251,1312,260,826,226,5
California,Santa Cruz,285,1,36,,44,204,2050,485,1533,32,14
California,Shasta,519,5,58,,22,434,962,451,471,40,23
California,Solano,92,1,2,,17,72,312,115,139,58,9
California,Sonoma,583,3,91,,48,441,1450,494,937,19,12
California,Stanislaus,470,11,42,,134,283,1821,726,1034,61,14
California,Sutter,88,1,7,,6,74,618,235,329,54,2
California,Tulare,350,19,28,,62,241,2074,756,1318,0,1
California,Ventura,171,2,29,,19,121,767,224,467,76,11
California,Yolo,56,0,8,,7,41,248,69,158,21,4
California,Yuba,210,3,11,,32,164,1086,335,744,7,18
California,Alpine,6,0,0,,0,6,34,7,26,1,0
California,Amador,53,0,6,,8,39,371,142,225,4,3
California,Calaveras,169,3,26,,16,124,535,183,341,11,0
California,Colusa,31,0,2,,6,23,186,78,108,0,0
California,Del Norte,115,0,30,,11,74,355,251,96,8,7
California,Glenn,34,1,0,,1,32,159,60,96,3,1
California,Humboldt,265,9,22,,57,177,773,366,385,22,4
California,Inyo,85,0,7,,5,73,158,67,84,7,1
California,Lake,179,2,17,,15,145,635,337,283,15,11
California,Lassen,43,1,4,,2,36,202,87,114,1,0
California,Mariposa,80,0,12,,1,67,217,53,161,3,0
California,Mendocino,346,7,42,,19,278,477,246,228,3,5
California,Modoc,19,1,3,,0,15,44,9,35,0,0
California,Mono,16,1,2,,1,12,51,20,31,0,0
California,Nevada,80,5,4,,5,66,697,285,395,17,3
California,Plumas,120,2,10,,6,102,335,120,207,8,1
California,Sierra,14,0,0,,0,14,26,8,18,0,1
California,Siskiyou,52,2,5,,2,43,225,118,102,5,1
California,Tehama,163,3,6,,12,142,371,235,130,6,2
California,Trinity,65,3,3,,6,53,234,101,133,0,0
California,Tuolumne,159,1,45,,9,104,737,350,377,10,6
Colorado,Adams,523,11,94,,93,325,2954,437,1582,935,33
Colorado,Arapahoe,269,4,74,,46,145,1381,269,904,208,25
Colorado,Boulder,83,1,20,,6,56,586,161,388,37,10
Colorado,Clear Creek,15,0,1,,0,14,64,10,48,6,18
Colorado,Douglas,326,2,133,,7,184,1939,380,1366,193,29
Colorado,El Paso,390,7,80,,25,278,2186,402,1526,258,30
Colorado,Gilpin,4,0,1,,0,3,47,12,32,3,1
Colorado,Jefferson,224,2,66,,15,141,2889,454,2167,268,13
Colorado,Larimer,171,2,26,,10,133,930,208,625,97,7
Colorado,Mesa,180,5,51,,6,118,1258,237,924,97,8
Colorado,Park,16,1,2,,0,13,67,28,29,10,2
Colorado,Pueblo,35,2,1,,6,26,1309,291,858,160,3
Colorado,Teller,6,0,1,,0,5,90,23,59,8,1
Colorado,Weld,102,0,12,,6,84,847,259,472,116,4
Colorado,Alamosa,6,0,2,,0,4,73,9,59,5,0
Colorado,Archuleta,19,0,3,,1,15,106,32,71,3,0
Colorado,Baca,1,0,0,,0,1,1,0,1,0,0
Colorado,Bent,7,0,2,,1,4,139,63,71,5,1
Colorado,Chaffee,0,0,0,,0,0,70,12,52,6,0
Colorado,Cheyenne,1,0,0,,0,1,3,2,1,0,0
Colorado,Conejos,6,0,1,,0,5,62,59,1,2,0
Colorado,Crowley,5,1,1,,0,3,58,31,20,7,0
Colorado,Custer,7,0,1,,0,6,99,22,70,7,5
Colorado,Delta,16,0,13,,1,2,149,49,79,21,0
Colorado,Dolores,5,0,0,,1,4,17,7,8,2,0
Colorado,Eagle,33,0,14,,0,19,,37,,15,3
Colorado,Fremont,28,0,1,,3,24,208,60,123,25,2
Colorado,Garfield,39,1,15,,2,21,231,57,156,18,3
Colorado,Gunnison,3,0,0,,1,2,25,1,23,1,0
Colorado,Hinsdale,4,0,1,,0,3,6,2,4,0,0
Colorado,Jackson,0,0,0,,0,0,5,0,4,1,0
Colorado,Kit Carson,5,0,0,,0,5,36,11,21,4,0
Colorado,La Plata,49,0,22,,1,26,265,75,164,26,3
Colorado,Lake,6,0,3,,0,3,41,5,34,2,1
Colorado,Lincoln,1,0,0,,0,1,23,13,7,3,0
Colorado,Logan,15,0,11,,0,4,125,39,58,28,0
Colorado,Moffat,3,0,1,,0,2,45,10,31,4,1
Colorado,Montezuma,21,0,1,,2,18,174,47,117,10,1
Colorado,Montrose,12,0,6,,1,5,229,93,118,18,2
Colorado,Morgan,10,0,0,,1,9,116,35,71,10,4
Colorado,Otero,8,0,0,,0,8,78,34,36,8,0
Colorado,Phillips,3,0,0,,0,3,4,1,3,0,0
Colorado,Pitkin,5,0,3,,0,2,55,6,41,8,2
Colorado,Prowers,3,0,1,,0,2,23,6,12,5,0
Colorado,Rio Blanco,0,0,0,,0,0,25,2,22,1,0
Colorado,Rio Grande,2,0,0,,0,2,12,6,4,2,0
Colorado,Routt,7,0,6,,0,1,37,6,28,3,1
Colorado,Saguache,4,0,0,,0,4,25,7,14,4,0
Colorado,San Juan,0,0,0,,0,0,10,1,8,1,0
Colorado,San Miguel,7,0,1,,0,6,3,2,1,0,0
Colorado,Summit,30,0,20,,2,8,241,49,183,9,2
Colorado,Washington,7,0,5,,0,2,88,24,61,3,1
Delaware,New Castle,969,14,44,,212,699,5485,1318,3667,500,1
Florida,Alachua,519,1,62,,75,381,2044,545,1377,122,14
Florida,Baker,118,1,4,,8,105,316,103,194,19,0
Florida,Bay,375,4,40,,41,290,2433,536,1716,181,6
Florida,Brevard,756,6,42,,101,607,4494,1038,3096,360,19
Florida,Broward,380,3,20,,92,265,768,160,529,79,4
Florida,Charlotte,379,4,35,,19,321,2456,408,1948,100,5
Florida,Citrus,338,4,40,,39,255,1979,426,1443,110,8
Florida,Clay,450,3,87,,81,279,3256,618,2475,163,13
Florida,Collier,941,7,65,,166,703,3994,742,3028,224,16
Florida,Escambia,1614,12,153,,308,1141,8129,1618,5958,553,29
Florida,Flagler,221,0,16,,29,176,1646,306,1255,85,7
Florida,Gadsden,69,2,6,,5,56,379,173,193,13,2
Florida,Gulf,37,0,3,,1,33,163,59,99,5,2
Florida,Hernando,412,4,62,,60,286,3113,620,2283,210,18
Florida,Highlands,271,4,21,,40,206,2066,548,1420,98,10
Florida,Hillsborough,1926,27,173,,352,1374,13758,2600,9972,1186,75
Florida,Indian River,226,1,11,,24,190,1782,390,1275,117,1
Florida,Jefferson,87,0,10,,2,75,152,65,72,15,0
Florida,Lake,472,2,52,,36,382,2686,711,1747,228,12
Florida,Lee,1379,21,175,,252,931,6196,1427,4336,433,50
Florida,Leon,394,1,39,,42,312,2397,670,1594,133,12
Florida,Manatee,1349,18,120,,169,1042,5491,1070,4086,335,21
Florida,Marion,679,8,58,,93,520,4403,1405,2529,469,5
Florida,Martin,304,6,45,,48,205,1909,323,1509,77,8
Florida,Miami-Dade,6278,84,409,,1537,4248,36318,4605,28416,3297,25
Florida,Nassau,137,3,19,,4,111,956,474,433,49,4
Florida,Okaloosa,585,4,76,,51,454,3057,525,2384,148,4
Florida,Orange,5106,61,498,,1159,3388,25493,6091,17208,2194,0
Florida,Osceola,835,7,79,,83,666,4671,1240,3173,258,5
Florida,Palm Beach,2005,25,216,,436,1328,13158,2968,9080,1110,55
Florida,Pasco,1391,10,165,,169,1047,8594,1786,6140,668,41
Florida,Pinellas,727,5,111,,149,462,5839,907,4511,421,22
Florida,Polk,1374,14,139,,135,1086,6506,1748,4124,634,26
Florida,Santa Rosa,201,6,52,,16,127,1571,349,1134,88,6
Florida,Sarasota,494,5,31,,68,390,4586,797,3598,191,1
Florida,Seminole,637,6,81,,55,495,3224,735,2350,139,2
Florida,St. Johns,346,4,13,,32,297,2896,602,2177,117,4
Florida,St. Lucie,237,3,29,,30,175,1659,369,1186,104,9
Florida,Sumter,237,0,21,,8,208,891,225,627,39,1
Florida,Volusia,609,4,81,,100,424,4088,922,2881,285,15
Florida,Wakulla,52,1,3,,4,44,504,134,350,20,2
Florida,Walton,175,3,16,,10,146,1311,333,901,77,3
Florida,Bradford,75,1,4,,1,69,211,96,102,13,1
Florida,Calhoun,17,0,1,,0,16,48,16,29,3,0
Florida,Columbia,186,1,14,,13,158,995,425,505,65,0
Florida,DeSoto,99,1,12,,8,78,622,167,411,44,6
Florida,Dixie,80,1,13,,1,65,329,128,191,10,3
Florida,Franklin,17,0,1,,0,16,85,20,61,4,0
Florida,Glades,29,0,2,,2,25,128,33,85,10,0
Florida,Hamilton,26,0,3,,1,22,169,58,99,12,1
Florida,Hardee,50,0,8,,6,36,333,105,209,19,0
Florida,Hendry,118,5,13,,22,78,675,281,371,23,15
Florida,Holmes,64,0,6,,6,52,241,86,137,18,0
Florida,Jackson,94,0,16,,6,72,681,167,474,40,2
Florida,Lafayette,13,0,0,,0,13,60,27,31,2,1
Florida,Levy,403,1,8,,2,392,461,139,294,28,1
Florida,Liberty,2,1,0,,0,1,7,1,4,2,0
Florida,Madison,126,1,6,,2,117,240,108,132,0,2
Florida,Monroe,179,1,21,,15,142,1061,205,807,49,0
Florida,Okeechobee,132,5,18,,10,99,953,204,680,69,0
Florida,Putnam,265,4,33,,28,200,1201,396,743,62,11
Florida,Suwannee,155,3,11,,8,133,404,123,243,38,0
Florida,Taylor,182,2,9,,1,170,267,116,135,16,2
Florida,Union,37,2,0,,2,33,60,25,34,1,1
Florida,Washington,30,0,3,,3,24,167,60,92,15,1
Georgia,Augusta-Richmond,845,18,,66,323,438,8643,1637,6560,446,
Georgia,Bartow,338,0,,27,33,278,2181,508,1451,222,0
Georgia,Bibb,756,15,,53,261,427,7934,1939,5395,600,67
Georgia,Brantley,40,0,,7,5,28,478,119,344,15,0
Georgia,Brooks,35,0,,0,4,31,179,50,118,11,1
Georgia,Bryan,93,2,,5,1,85,269,74,188,7,2
Georgia,Burke,55,3,,0,0,52,447,103,325,19,0
Georgia,Butts,90,1,,2,7,80,368,71,276,21,0
Georgia,Carroll,165,1,,19,21,124,1398,484,786,128,16
Georgia,Catoosa,74,2,,5,8,59,904,165,584,155,7
Georgia,Cherokee,123,4,,25,15,79,1568,286,1256,26,5
Georgia,Clarke,0,0,,0,0,0,0,0,0,0,0
Georgia,Clayton,6,0,,0,1,5,27,5,19,3,0
Georgia,Cobb,79,0,,5,8,66,39,8,31,0,0
Georgia,Columbia,65,8,,9,17,31,1952,202,1680,70,4
Georgia,Coweta,116,0,,16,25,75,1372,336,940,96,6
Georgia,Crawford,23,0,,2,2,19,252,62,167,23,0
Georgia,Dawson,24,0,,6,2,16,442,73,331,38,1
Georgia,DeKalb,0,0,,0,0,0,0,0,0,0,0
Georgia,Dougherty,1,0,,0,0,1,171,0,171,0,0
Georgia,Douglas,235,7,,13,60,155,2636,488,2015,133,6
Georgia,Echols,3,0,,1,0,2,27,12,14,1,0
Georgia,Effingham,41,0,,6,7,28,435,192,199,44,0
Georgia,Fayette,33,1,,4,11,17,405,104,276,25,0
Georgia,Floyd,16,0,,1,4,11,81,21,56,4,0
Georgia,Fulton,11,0,,2,1,8,11,0,11,0,0
Georgia,Glynn,0,0,,0,0,0,0,0,0,0,0
Georgia,Hall,215,3,,22,27,163,1999,413,1368,218,24
Georgia,Haralson,125,1,,1,3,120,456,146,271,39,1
Georgia,Harris,41,0,,1,1,39,227,90,119,18,2
Georgia,Heard,20,0,,0,1,19,122,40,60,22,0
Georgia,Henry,0,0,,0,0,0,135,0,135,0,0
Georgia,Houston,127,0,,9,11,107,1087,206,828,53,0
Georgia,Jasper,56,0,,0,2,54,166,56,98,12,0
Georgia,Jones,21,0,,1,6,14,418,130,254,34,0
Georgia,Lamar,18,1,,1,2,14,135,25,89,21,0
Georgia,Lanier,28,0,,3,0,25,122,23,91,8,
Georgia,Lee,40,0,,4,8,28,576,112,452,12,
Georgia,Liberty,99,0,,1,8,90,276,79,176,21,
Georgia,Lincoln,25,2,,2,1,20,178,31,140,7,0
Georgia,Long,7,1,,1,2,3,171,77,77,17,0
Georgia,Lowndes,91,0,,3,6,82,720,229,440,51,
Georgia,Madison,58,0,,7,8,43,436,125,270,41,5
Georgia,Marion,2,0,,0,0,2,30,17,10,3,0
Georgia,McDuffie,31,0,,4,7,20,235,103,117,15,2
Georgia,McIntosh,23,0,,4,7,12,285,83,183,19,2
Georgia,Meriwether,43,0,,2,3,38,254,72,173,9,2
Georgia,Monroe,22,0,,1,0,21,355,90,236,29,1
Georgia,Newton,364,7,,14,43,300,1412,377,862,173,
Georgia,Oconee,39,2,,0,0,37,507,84,404,19,0
Georgia,Oglethorpe,46,0,,4,3,39,293,61,214,18,0
Georgia,Paulding,185,1,,10,17,157,2230,418,1540,272,40
Georgia,Peach,26,2,,4,3,17,257,83,151,23,0
Georgia,Pickens,64,0,,5,0,59,345,77,226,42,
Georgia,Pike,12,0,,1,0,11,228,41,178,9,0
Georgia,Rockdale,171,4,,15,30,122,1628,320,1187,121,9
Georgia,Spalding,147,0,,13,18,116,1220,289,809,122,2
Georgia,Terrell,10,1,,0,1,8,69,25,42,2,0
Georgia,Walton,73,0,,8,10,55,795,171,542,82,0
Georgia,Whitfield,204,0,,27,9,168,1424,349,953,122,11
Georgia,Worth,36,0,,4,0,32,238,79,147,12,0
Georgia,Baldwin,259,5,,3,12,239,638,154,453,31,2
Georgia,Banks,57,0,,5,5,47,445,134,290,21,1
Georgia,Ben Hill,29,1,,1,3,24,223,81,133,9,0
Georgia,Berrien,14,0,,5,1,8,181,49,126,6,0
Georgia,Bleckley,12,0,,0,1,11,151,34,109,8,0
Georgia,Bulloch,28,1,,3,7,17,526,154,341,31,2
Georgia,Calhoun,4,0,,0,0,4,9,1,7,1,0
Georgia,Camden,25,0,,0,5,20,257,84,163,10,
Georgia,Charlton,12,0,,0,1,11,96,38,40,18,0
Georgia,Chattooga,26,0,,2,3,21,346,101,233,12,0
Georgia,Clay,4,0,,0,0,4,3,1,2,0,0
Georgia,Clinch,8,0,,0,0,8,56,19,30,7,1
Georgia,Coffee,65,1,,7,3,54,780,190,528,62,10
Georgia,Cook,12,0,,1,4,7,112,31,72,9,0
Georgia,Crisp,13,0,,0,2,11,363,52,304,7,0
Georgia,Decatur,48,1,,4,2,41,254,81,163,10,0
Georgia,Dodge,22,0,,1,2,19,284,86,187,11,0
Georgia,Dooly,6,0,,0,1,5,81,11,56,14,1
Georgia,Early,15,0,,1,0,14,84,21,55,8,0
Georgia,Elbert,27,0,,1,0,26,295,99,166,30,0
Georgia,Emanuel,10,1,,0,0,9,260,94,149,17,0
Georgia,Evans,7,0,,0,2,5,26,17,6,3,0
Georgia,Fannin,19,0,,0,1,18,289,103,161,25,4
Georgia,Franklin,9,1,,2,1,5,234,58,161,15,1
Georgia,Gilmer,65,1,,7,3,54,349,119,209,21,0
Georgia,Glascock,4,0,,0,0,4,18,8,7,3,0
Georgia,Gordon,106,3,,6,5,92,711,175,480,56,0
Georgia,Grady,30,0,,1,1,28,181,79,91,11,0
Georgia,Greene,15,0,,0,0,15,157,27,124,6,0
Georgia,Habersham,50,1,,9,5,35,348,141,186,21,0
Georgia,Hancock,19,0,,0,2,17,113,28,75,10,0
Georgia,Hart,51,0,,3,1,47,294,87,200,7,0
Georgia,Irwin,6,0,,0,0,6,100,40,54,6,0
Georgia,Jackson,105,0,,6,7,92,756,120,601,35,
Georgia,Jeff Davis,25,1,,2,0,22,150,45,99,6,0
Georgia,Jefferson,28,0,,3,1,24,100,49,45,6,0
Georgia,Laurens,84,0,,5,2,77,504,162,297,45,1
Georgia,Lumpkin,12,1,,7,3,1,443,101,321,21,3
Georgia,Miller,2,0,,0,0,2,28,9,19,0,
Georgia,Mitchell,36,0,,2,1,33,258,65,184,9,0
Georgia,Pierce,50,2,,5,4,39,247,82,162,3,0
Georgia,Polk,0,0,,0,0,0,0,0,0,0,0
Georgia,Putnam,34,0,,1,0,33,358,94,258,6,
Georgia,Quitman,5,0,,0,0,5,36,15,21,0,
Georgia,Rabun,14,0,,0,0,14,260,62,189,9,0
Georgia,Randolph,15,0,,0,1,14,53,24,27,2,0
Georgia,Schley,2,0,,1,0,1,20,6,13,1,0
Georgia,Screven,13,0,,1,2,10,146,65,62,19,0
Georgia,Seminole,21,0,,0,0,21,70,17,49,4,0
Georgia,Stephens,35,1,,7,3,24,312,77,229,6,0
Georgia,Stewart,0,0,,0,0,0,3,0,2,1,
Georgia,Sumter,33,0,,6,4,23,212,60,137,15,0
Georgia,Talbot,6,0,,0,0,6,67,30,31,6,0
Georgia,Taliaferro,2,0,,0,1,1,30,11,17,2,0
Georgia,Tattnall,29,1,,4,4,20,244,72,163,9,0
Georgia,Taylor,9,0,,0,0,9,80,32,39,9,1
Georgia,Thomas,63,0,,7,12,44,484,147,289,48,6
Georgia,Tift,95,3,,4,13,75,711,183,500,28,0
Georgia,Towns,39,1,,0,0,38,128,52,70,6,0
Georgia,Treutlen,2,0,,0,0,2,54,16,33,5,
Georgia,Troup,42,0,,10,7,25,665,159,455,51,0
Georgia,Turner,7,0,,1,0,6,43,12,27,4,
Georgia,Union,21,0,,4,1,16,243,60,160,23,0
Georgia,Upson,30,0,,3,8,19,262,58,181,23,0
Georgia,Ware,82,0,,4,12,66,604,143,440,21,9
Georgia,Warren,10,0,,1,1,8,62,21,36,5,
Georgia,Washington,14,0,,0,1,13,131,35,84,12,0
Georgia,Wayne,149,1,,6,4,138,731,169,528,34,2
Georgia,Webster,1,0,,0,0,1,7,3,4,0,0
Georgia,White,30,0,,2,0,28,287,80,177,30,0
Georgia,Wilcox,12,0,,1,0,11,61,34,27,0,0
Georgia,Wilkes,30,1,,2,4,23,21,7,13,1,1
Georgia,Wilkinson,13,2,,0,0,11,40,12,20,8,3
Idaho,Ada,202,1,53,,12,136,700,154,502,44,9
